pokemon_id,hp,attack,defense,special_attack,special_defense,speed,total_stats
1,45,49,49,65,65,45,318
2,60,62,63,80,80,60,405
3,80,82,83,100,100,80,525
4,39,52,43,60,50,65,309
5,58,64,58,80,65,80,405
6,78,84,78,109,85,100,534
7,44,48,65,50,64,43,314
8,59,63,80,65,80,58,405
9,79,83,100,85,105,78,530
10,45,30,35,20,20,45,195
11,50,20,55,25,25,30,205
12,60,45,50,90,80,70,395
13,40,35,30,20,20,50,195
14,45,25,50,25,25,35,205
15,65,90,40,45,80,75,395
16,40,45,40,35,35,56,251
17,63,60,55,50,50,71,349
18,83,80,75,70,70,101,479
19,30,56,35,25,35,72,253
20,55,81,60,50,70,97,413
21,40,60,30,31,31,70,262
22,65,90,65,61,61,100,442
23,35,60,44,40,54,55,288
24,60,95,69,65,79,80,448
25,35,55,40,50,50,90,320
26,60,90,55,90,80,110,485
27,50,75,85,20,30,40,300
28,75,100,110,45,55,65,450
29,55,47,52,40,40,41,275
30,70,62,67,55,55,56,365
31,90,92,87,75,85,76,505
32,46,57,40,40,40,50,273
33,61,72,57,55,55,65,365
34,81,102,77,85,75,85,505
35,70,45,48,60,65,35,323
36,95,70,73,95,90,60,483
37,38,41,40,50,65,65,299
38,73,76,75,81,100,100,505
39,115,45,20,45,25,20,270
40,140,70,45,85,50,45,435
41,40,45,35,30,40,55,245
42,75,80,70,65,75,90,455
43,45,50,55,75,65,30,320
44,60,65,70,85,75,40,395
45,75,80,85,110,90,50,490
46,35,70,55,45,55,25,285
47,60,95,80,60,80,30,405
48,60,55,50,40,55,45,305
49,70,65,60,90,75,90,450
50,10,55,25,35,45,95,265
51,35,100,50,50,70,120,425
52,40,45,35,40,40,90,290
53,65,70,60,65,65,115,440
54,50,52,48,65,50,55,320
55,80,82,78,95,80,85,500
56,40,80,35,35,45,70,305
57,65,105,60,60,70,95,455
58,55,70,45,70,50,60,350
59,90,110,80,100,80,95,555
60,40,50,40,40,40,90,300
61,65,65,65,50,50,90,385
62,90,95,95,70,90,70,510
63,25,20,15,105,55,90,310
64,40,35,30,120,70,105,400
65,55,50,45,135,95,120,500
66,70,80,50,35,35,35,305
67,80,100,70,50,60,45,405
68,90,130,80,65,85,55,505
69,50,75,35,70,30,40,300
70,65,90,50,85,45,55,390
71,80,105,65,100,70,70,490
72,40,40,35,50,100,70,335
73,80,70,65,80,120,100,515
74,40,80,100,30,30,20,300
75,55,95,115,45,45,35,390
76,80,120,130,55,65,45,495
77,50,85,55,65,65,90,410
78,65,100,70,80,80,105,500
79,90,65,65,40,40,15,315
80,95,75,110,100,80,30,490
81,25,35,70,95,55,45,325
82,50,60,95,120,70,70,465
83,52,90,55,58,62,60,377
84,35,85,45,35,35,75,310
85,60,110,70,60,60,110,470
86,65,45,55,45,70,45,325
87,90,70,80,70,95,70,475
88,80,80,50,40,50,25,325
89,105,105,75,65,100,50,500
90,30,65,100,45,25,40,305
91,50,95,180,85,45,70,525
92,30,35,30,100,35,80,310
93,45,50,45,115,55,95,405
94,60,65,60,130,75,110,500
95,35,45,160,30,45,70,385
96,60,48,45,43,90,42,328
97,85,73,70,73,115,67,483
98,30,105,90,25,25,50,325
99,55,130,115,50,50,75,475
100,40,30,50,55,55,100,330
101,60,50,70,80,80,150,490
102,60,40,80,60,45,40,325
103,95,95,85,125,75,55,530
104,50,50,95,40,50,35,320
105,60,80,110,50,80,45,425
106,50,120,53,35,110,87,455
107,50,105,79,35,110,76,455
108,90,55,75,60,75,30,385
109,40,65,95,60,45,35,340
110,65,90,120,85,70,60,490
111,80,85,95,30,30,25,345
112,105,130,120,45,45,40,485
113,250,5,5,35,105,50,450
114,65,55,115,100,40,60,435
115,105,95,80,40,80,90,490
116,30,40,70,70,25,60,295
117,55,65,95,95,45,85,440
118,45,67,60,35,50,63,320
119,80,92,65,65,80,68,450
120,30,45,55,70,55,85,340
121,60,75,85,100,85,115,520
122,40,45,65,100,120,90,460
123,70,110,80,55,80,105,500
124,65,50,35,115,95,95,455
125,65,83,57,95,85,105,490
126,65,95,57,100,85,93,495
127,65,125,100,55,70,85,500
128,75,100,95,40,70,110,490
129,20,10,55,15,20,80,200
130,95,125,79,60,100,81,540
131,130,85,80,85,95,60,535
132,48,48,48,48,48,48,288
133,55,55,50,45,65,55,325
134,130,65,60,110,95,65,525
135,65,65,60,110,95,130,525
136,65,130,60,95,110,65,525
137,65,60,70,85,75,40,395
138,35,40,100,90,55,35,355
139,70,60,125,115,70,55,495
140,30,80,90,55,45,55,355
141,60,115,105,65,70,80,495
142,80,105,65,60,75,130,515
143,160,110,65,65,110,30,540
144,90,85,100,95,125,85,580
145,90,90,85,125,90,100,580
146,90,100,90,125,85,90,580
147,41,64,45,50,50,50,300
148,61,84,65,70,70,70,420
149,91,134,95,100,100,80,600
150,106,110,90,154,90,130,680
151,100,100,100,100,100,100,600
152,45,49,65,49,65,45,318
153,60,62,80,63,80,60,405
154,80,82,100,83,100,80,525
155,39,52,43,60,50,65,309
156,58,64,58,80,65,80,405
157,78,84,78,109,85,100,534
158,50,65,64,44,48,43,314
159,65,80,80,59,63,58,405
160,85,105,100,79,83,78,530
161,35,46,34,35,45,20,215
162,85,76,64,45,55,90,415
163,60,30,30,36,56,50,262
164,100,50,50,86,96,70,452
165,40,20,30,40,80,55,265
166,55,35,50,55,110,85,390
167,40,60,40,40,40,30,250
168,70,90,70,60,70,40,400
169,85,90,80,70,80,130,535
170,75,38,38,56,56,67,330
171,125,58,58,76,76,67,460
172,20,40,15,35,35,60,205
173,50,25,28,45,55,15,218
174,90,30,15,40,20,15,210
175,35,20,65,40,65,20,245
176,55,40,85,80,105,40,405
177,40,50,45,70,45,70,320
178,65,75,70,95,70,95,470
179,55,40,40,65,45,35,280
180,70,55,55,80,60,45,365
181,90,75,85,115,90,55,510
182,75,80,95,90,100,50,490
183,70,20,50,20,50,40,250
184,100,50,80,60,80,50,420
185,70,100,115,30,65,30,410
186,90,75,75,90,100,70,500
187,35,35,40,35,55,50,250
188,55,45,50,45,65,80,340
189,75,55,70,55,95,110,460
190,55,70,55,40,55,85,360
191,30,30,30,30,30,30,180
192,75,75,55,105,85,30,425
193,65,65,45,75,45,95,390
194,55,45,45,25,25,15,210
195,95,85,85,65,65,35,430
196,65,65,60,130,95,110,525
197,95,65,110,60,130,65,525
198,60,85,42,85,42,91,405
199,95,75,80,100,110,30,490
200,60,60,60,85,85,85,435
201,48,72,48,72,48,48,336
202,190,33,58,33,58,33,405
203,70,80,65,90,65,85,455
204,50,65,90,35,35,15,290
205,75,90,140,60,60,40,465
206,100,70,70,65,65,45,415
207,65,75,105,35,65,85,430
208,75,85,200,55,65,30,510
209,60,80,50,40,40,30,300
210,90,120,75,60,60,45,450
211,65,95,85,55,55,85,440
212,70,130,100,55,80,65,500
213,20,10,230,10,230,5,505
214,80,125,75,40,95,85,500
215,55,95,55,35,75,115,430
216,60,80,50,50,50,40,330
217,90,130,75,75,75,55,500
218,40,40,40,70,40,20,250
219,60,50,120,90,80,30,430
220,50,50,40,30,30,50,250
221,100,100,80,60,60,50,450
222,65,55,95,65,95,35,410
223,35,65,35,65,35,65,300
224,75,105,75,105,75,45,480
225,45,55,45,65,45,75,330
226,85,40,70,80,140,70,485
227,65,80,140,40,70,70,465
228,45,60,30,80,50,65,330
229,75,90,50,110,80,95,500
230,75,95,95,95,95,85,540
231,90,60,60,40,40,40,330
232,90,120,120,60,60,50,500
233,85,80,90,105,95,60,515
234,73,95,62,85,65,85,465
235,55,20,35,20,45,75,250
236,35,35,35,35,35,35,210
237,50,95,95,35,110,70,455
238,45,30,15,85,65,65,305
239,45,63,37,65,55,95,360
240,45,75,37,70,55,83,365
241,95,80,105,40,70,100,490
242,255,10,10,75,135,55,540
243,90,85,75,115,100,115,580
244,115,115,85,90,75,100,580
245,100,75,115,90,115,85,580
246,50,64,50,45,50,41,300
247,70,84,70,65,70,51,410
248,100,134,110,95,100,61,600
249,106,90,130,90,154,110,680
250,106,130,90,110,154,90,680
251,100,100,100,100,100,100,600
252,40,45,35,65,55,70,310
253,50,65,45,85,65,95,405
254,70,85,65,105,85,120,530
255,45,60,40,70,50,45,310
256,60,85,60,85,60,55,405
257,80,120,70,110,70,80,530
258,50,70,50,50,50,40,310
259,70,85,70,60,70,50,405
260,100,110,90,85,90,60,535
261,35,55,35,30,30,35,220
262,70,90,70,60,60,70,420
263,38,30,41,30,41,60,240
264,78,70,61,50,61,100,420
265,45,45,35,20,30,20,195
266,50,35,55,25,25,15,205
267,60,70,50,100,50,65,395
268,50,35,55,25,25,15,205
269,60,50,70,50,90,65,385
270,40,30,30,40,50,30,220
271,60,50,50,60,70,50,340
272,80,70,70,90,100,70,480
273,40,40,50,30,30,30,220
274,70,70,40,60,40,60,340
275,90,100,60,90,60,80,480
276,40,55,30,30,30,85,270
277,60,85,60,75,50,125,455
278,40,30,30,55,30,85,270
279,60,50,100,95,70,65,440
280,28,25,25,45,35,40,198
281,38,35,35,65,55,50,278
282,68,65,65,125,115,80,518
283,40,30,32,50,52,65,269
284,70,60,62,100,82,80,454
285,60,40,60,40,60,35,295
286,60,130,80,60,60,70,460
287,60,60,60,35,35,30,280
288,80,80,80,55,55,90,440
289,150,160,100,95,65,100,670
290,31,45,90,30,30,40,266
291,61,90,45,50,50,160,456
292,1,90,45,30,30,40,236
293,64,51,23,51,23,28,240
294,84,71,43,71,43,48,360
295,104,91,63,91,73,68,490
296,72,60,30,20,30,25,237
297,144,120,60,40,60,50,474
298,50,20,40,20,40,20,190
299,30,45,135,45,90,30,375
300,50,45,45,35,35,50,260
301,70,65,65,55,55,90,400
302,50,75,75,65,65,50,380
303,50,85,85,55,55,50,380
304,50,70,100,40,40,30,330
305,60,90,140,50,50,40,430
306,70,110,180,60,60,50,530
307,30,40,55,40,55,60,280
308,60,60,75,60,75,80,410
309,40,45,40,65,40,65,295
310,70,75,60,105,60,105,475
311,60,50,40,85,75,95,405
312,60,40,50,75,85,95,405
313,65,73,75,47,85,85,430
314,65,47,75,73,85,85,430
315,50,60,45,100,80,65,400
316,70,43,53,43,53,40,302
317,100,73,83,73,83,55,467
318,45,90,20,65,20,65,305
319,70,120,40,95,40,95,460
320,130,70,35,70,35,60,400
321,170,90,45,90,45,60,500
322,60,60,40,65,45,35,305
323,70,100,70,105,75,40,460
324,70,85,140,85,70,20,470
325,60,25,35,70,80,60,330
326,80,45,65,90,110,80,470
327,60,60,60,60,60,60,360
328,45,100,45,45,45,10,290
329,50,70,50,50,50,70,340
330,80,100,80,80,80,100,520
331,50,85,40,85,40,35,335
332,70,115,60,115,60,55,475
333,45,40,60,40,75,50,310
334,75,70,90,70,105,80,490
335,73,115,60,60,60,90,458
336,73,100,60,100,60,65,458
337,90,55,65,95,85,70,460
338,90,95,85,55,65,70,460
339,50,48,43,46,41,60,288
340,110,78,73,76,71,60,468
341,43,80,65,50,35,35,308
342,63,120,85,90,55,55,468
343,40,40,55,40,70,55,300
344,60,70,105,70,120,75,500
345,66,41,77,61,87,23,355
346,86,81,97,81,107,43,495
347,45,95,50,40,50,75,355
348,75,125,100,70,80,45,495
349,20,15,20,10,55,80,200
350,95,60,79,100,125,81,540
351,70,70,70,70,70,70,420
352,60,90,70,60,120,40,440
353,44,75,35,63,33,45,295
354,64,115,65,83,63,65,455
355,20,40,90,30,90,25,295
356,40,70,130,60,130,25,455
357,99,68,83,72,87,51,460
358,75,50,80,95,90,65,455
359,65,130,60,75,60,75,465
360,95,23,48,23,48,23,260
361,50,50,50,50,50,50,300
362,80,80,80,80,80,80,480
363,70,40,50,55,50,25,290
364,90,60,70,75,70,45,410
365,110,80,90,95,90,65,530
366,35,64,85,74,55,32,345
367,55,104,105,94,75,52,485
368,55,84,105,114,75,52,485
369,100,90,130,45,65,55,485
370,43,30,55,40,65,97,330
371,45,75,60,40,30,50,300
372,65,95,100,60,50,50,420
373,95,135,80,110,80,100,600
374,40,55,80,35,60,30,300
375,60,75,100,55,80,50,420
376,80,135,130,95,90,70,600
377,80,100,200,50,100,50,580
378,80,50,100,100,200,50,580
379,80,75,150,75,150,50,580
380,80,80,90,110,130,110,600
381,80,90,80,130,110,110,600
382,100,100,90,150,140,90,670
383,100,150,140,100,90,90,670
384,105,150,90,150,90,95,680
385,100,100,100,100,100,100,600
386,50,150,50,150,50,150,600
387,55,68,64,45,55,31,318
388,75,89,85,55,65,36,405
389,95,109,105,75,85,56,525
390,44,58,44,58,44,61,309
391,64,78,52,78,52,81,405
392,76,104,71,104,71,108,534
393,53,51,53,61,56,40,314
394,64,66,68,81,76,50,405
395,84,86,88,111,101,60,530
396,40,55,30,30,30,60,245
397,55,75,50,40,40,80,340
398,85,120,70,50,60,100,485
399,59,45,40,35,40,31,250
400,79,85,60,55,60,71,410
401,37,25,41,25,41,25,194
402,77,85,51,55,51,65,384
403,45,65,34,40,34,45,263
404,60,85,49,60,49,60,363
405,80,120,79,95,79,70,523
406,40,30,35,50,70,55,280
407,60,70,65,125,105,90,515
408,67,125,40,30,30,58,350
409,97,165,60,65,50,58,495
410,30,42,118,42,88,30,350
411,60,52,168,47,138,30,495
412,40,29,45,29,45,36,224
413,60,59,85,79,105,36,424
414,70,94,50,94,50,66,424
415,30,30,42,30,42,70,244
416,70,80,102,80,102,40,474
417,60,45,70,45,90,95,405
418,55,65,35,60,30,85,330
419,85,105,55,85,50,115,495
420,45,35,45,62,53,35,275
421,70,60,70,87,78,85,450
422,76,48,48,57,62,34,325
423,111,83,68,92,82,39,475
424,75,100,66,60,66,115,482
425,90,50,34,60,44,70,348
426,150,80,44,90,54,80,498
427,55,66,44,44,56,85,350
428,65,76,84,54,96,105,480
429,60,60,60,105,105,105,495
430,100,125,52,105,52,71,505
431,49,55,42,42,37,85,310
432,71,82,64,64,59,112,452
433,45,30,50,65,50,45,285
434,63,63,47,41,41,74,329
435,103,93,67,71,61,84,479
436,57,24,86,24,86,23,300
437,67,89,116,79,116,33,500
438,50,80,95,10,45,10,290
439,20,25,45,70,90,60,310
440,100,5,5,15,65,30,220
441,76,65,45,92,42,91,411
442,50,92,108,92,108,35,485
443,58,70,45,40,45,42,300
444,68,90,65,50,55,82,410
445,108,130,95,80,85,102,600
446,135,85,40,40,85,5,390
447,40,70,40,35,40,60,285
448,70,110,70,115,70,90,525
449,68,72,78,38,42,32,330
450,108,112,118,68,72,47,525
451,40,50,90,30,55,65,330
452,70,90,110,60,75,95,500
453,48,61,40,61,40,50,300
454,83,106,65,86,65,85,490
455,74,100,72,90,72,46,454
456,49,49,56,49,61,66,330
457,69,69,76,69,86,91,460
458,45,20,50,60,120,50,345
459,60,62,50,62,60,40,334
460,90,92,75,92,85,60,494
461,70,120,65,45,85,125,510
462,70,70,115,130,90,60,535
463,110,85,95,80,95,50,515
464,115,140,130,55,55,40,535
465,100,100,125,110,50,50,535
466,75,123,67,95,85,95,540
467,75,95,67,125,95,83,540
468,85,50,95,120,115,80,545
469,86,76,86,116,56,95,515
470,65,110,130,60,65,95,525
471,65,60,110,130,95,65,525
472,75,95,125,45,75,95,510
473,110,130,80,70,60,80,530
474,85,80,70,135,75,90,535
475,68,125,65,65,115,80,518
476,60,55,145,75,150,40,525
477,45,100,135,65,135,45,525
478,70,80,70,80,70,110,480
479,50,50,77,95,77,91,440
480,75,75,130,75,130,95,580
481,80,105,105,105,105,80,580
482,75,125,70,125,70,115,580
483,100,120,120,150,100,90,680
484,90,120,100,150,120,100,680
485,91,90,106,130,106,77,600
486,110,160,110,80,110,100,670
487,150,100,120,100,120,90,680
488,120,70,110,75,120,85,580
489,80,80,80,80,80,80,480
490,100,100,100,100,100,100,600
491,70,90,90,135,90,125,600
492,100,100,100,100,100,100,600
493,120,120,120,120,120,120,720
494,100,100,100,100,100,100,600
495,45,45,55,45,55,63,308
496,60,60,75,60,75,83,413
497,75,75,95,75,95,113,528
498,65,63,45,45,45,45,308
499,90,93,55,70,55,55,418
500,110,123,65,100,65,65,528
501,55,55,45,63,45,45,308
502,75,75,60,83,60,60,413
503,95,100,85,108,70,70,528
504,45,55,39,35,39,42,255
505,60,85,69,60,69,77,420
506,45,60,45,25,45,55,275
507,65,80,65,35,65,60,370
508,85,110,90,45,90,80,500
509,41,50,37,50,37,66,281
510,64,88,50,88,50,106,446
511,50,53,48,53,48,64,316
512,75,98,63,98,63,101,498
513,50,53,48,53,48,64,316
514,75,98,63,98,63,101,498
515,50,53,48,53,48,64,316
